variant_slug,base_slug,base_name,kind,class,slot,rarity,affix,combat_value,expected_socket_count,socket_shapes
ace-assassin-bracers-1360404,ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,Deft,525,2,"peridot2,amethyst"
ace-assassin-bracers-1360405,ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,Blessing,525,2,"peridot2,agate"
ace-assassin-bracers-1360406,ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,Curse,525,2,"amethyst2,moonstone"
ace-assassin-bracers-1360407,ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,Wealth,525,2,"agate2,peridot"
ace-assassin-bracers-1360408,ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,Base roll,500,3,"agate2,amethyst,peridot"
ace-assassin-bracers-1360409,ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,Base roll,500,3,"peridot2,amethyst,agate"
ace-assassin-garb-1260401,ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,Aegis,525,2,"agate2,moonstone"
ace-assassin-garb-1260402,ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,Tenacious,525,2,"peridot2,amethyst"
ace-assassin-garb-1260403,ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,Iron Helmet,525,2,"amethyst2,peridot"
ace-assassin-garb-1260404,ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,Resilience,525,2,"agate2,peridot"
ace-assassin-garb-1260405,ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,Vitality,525,2,"moonstone2,amethyst"
ace-assassin-garb-1260406,ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,Curse,525,2,"agate2,moonstone"
ace-assassin-garb-1260407,ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,Wealth,525,2,"amethyst2,agate"
ace-assassin-garb-1260408,ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,Base roll,500,3,"peridot2,amethyst,moonstone"
ace-assassin-garb-1260409,ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,Base roll,500,3,"moonstone2,amethyst,peridot"
ace-assassin-mask-1160401,ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,Aegis,525,2,"moonstone2,amethyst"
ace-assassin-mask-1160402,ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,Tenacious,525,2,"peridot2,agate"
ace-assassin-mask-1160403,ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,Iron Helmet,525,2,"peridot2,agate"
ace-assassin-mask-1160404,ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,Fervor,525,2,"agate2,amethyst"
ace-assassin-mask-1160405,ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,Elusive,525,2,"moonstone2,peridot"
ace-assassin-mask-1160406,ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,Blessing,525,2,"amethyst2,moonstone"
ace-assassin-mask-1160407,ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,Wealth,525,2,"moonstone2,amethyst"
ace-assassin-mask-1160408,ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,Base roll,500,3,"peridot2,agate,moonstone"
ace-assassin-mask-1160409,ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,Base roll,500,3,"amethyst2,agate,peridot"
ace-assassin-pants-1460401,ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,Aegis,525,2,"moonstone2,agate"
ace-assassin-pants-1460402,ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,Tenacious,525,2,"amethyst2,peridot"
ace-assassin-pants-1460403,ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,Iron Helmet,525,2,"agate2,moonstone"
ace-assassin-pants-1460404,ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,Fervid,525,2,"moonstone2,agate"
ace-assassin-pants-1460405,ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,Smiting,525,2,"peridot2,amethyst"
ace-assassin-pants-1460406,ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,Vitality,525,2,"amethyst2,peridot"
ace-assassin-pants-1460407,ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,Elusive,525,2,"amethyst2,peridot"
ace-assassin-pants-1460408,ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,Base roll,500,3,"agate2,amethyst,moonstone"
ace-assassin-pants-1460409,ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,Base roll,500,3,"moonstone2,agate,amethyst"
ancestral-blessing-ring-1760101,ancestral-blessing-ring,Ancestral Blessing Ring,armor,Any,Ring,Legendary,Base roll,500,3,"agate2,amethyst,moonstone"
ancestral-blessing-ring-1760102,ancestral-blessing-ring,Ancestral Blessing Ring,armor,Any,Ring,Legendary,Base roll,500,3,"amethyst2,agate,peridot"
ancestral-blessing-ring-1760103,ancestral-blessing-ring,Ancestral Blessing Ring,armor,Any,Ring,Legendary,Base roll,500,3,"universal,agate,amethyst"
apprentice-boots-1520201,apprentice-boots,Apprentice Boots,armor,"Sorcerer, Seer",Feet,Common,Base roll,200,,
apprentice-bracers-1320201,apprentice-bracers,Apprentice Bracers,armor,"Sorcerer, Seer",Hands,Common,Base roll,200,,
apprentice-hood-1120201,apprentice-hood,Apprentice Hood,armor,"Sorcerer, Seer",Head,Common,Base roll,200,,
apprentice-pants-1420201,apprentice-pants,Apprentice Pants,armor,"Sorcerer, Seer",Legs,Common,Base roll,200,,
apprentice-robe-1220201,apprentice-robe,Apprentice Robe,armor,"Sorcerer, Seer",Chest,Common,Base roll,200,,
artisans-bracers-1320301,artisans-bracers,Artisan's Bracers,armor,"Blackarrow, Shadowstrix",Hands,Common,Base roll,200,,
artisans-eyepatch-1120301,artisans-eyepatch,Artisan's Eyepatch,armor,"Blackarrow, Shadowstrix",Head,Common,Base roll,200,,
artisans-leather-boots-1520301,artisans-leather-boots,Artisan's Leather Boots,armor,"Blackarrow, Shadowstrix",Feet,Common,Base roll,200,,
artisans-pants-1420301,artisans-pants,Artisan's Pants,armor,"Blackarrow, Shadowstrix",Legs,Common,Base roll,200,,
artisans-vest-1220301,artisans-vest,Artisan's Vest,armor,"Blackarrow, Shadowstrix",Chest,Common,Base roll,200,,
beak-necklace-1630201,beak-necklace,Beak Necklace,armor,Any,Necklace,Rare,Base roll,275,1,moonstone
beak-necklace-1630202,beak-necklace,Beak Necklace,armor,Any,Necklace,Rare,Base roll,275,1,peridot
beak-necklace-1630203,beak-necklace,Beak Necklace,armor,Any,Necklace,Rare,Base roll,275,1,universal
benediction-amulet-1640101,benediction-amulet,Benediction Amulet,armor,Any,Necklace,Excellent,Base roll,350,2,"agate,moonstone"
benediction-amulet-1640102,benediction-amulet,Benediction Amulet,armor,Any,Necklace,Excellent,Base roll,350,2,"amethyst,peridot"
benediction-amulet-1640103,benediction-amulet,Benediction Amulet,armor,Any,Necklace,Excellent,Base roll,350,2,"universal,agate"
black-iris-bracers-1350601,black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,Aegis,450,1,
black-iris-bracers-1350602,black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,Wrath,450,1,
black-iris-bracers-1350603,black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,Burst,450,1,
black-iris-bracers-1350604,black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,Fervid,450,1,
black-iris-bracers-1350605,black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,Elusive,450,1,
black-iris-bracers-1350606,black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,Deft,450,1,
black-iris-bracers-1350607,black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,Wealth,450,1,
black-iris-bracers-1350608,black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,Base roll,425,2,
black-iris-bracers-1350609,black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,Base roll,425,2,
black-iris-breastplate-1250601,black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,Aegis,450,1,
black-iris-breastplate-1250602,black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,Distant Ward,450,1,
black-iris-breastplate-1250603,black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,Iron Helmet,450,1,
black-iris-breastplate-1250604,black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,Stoic,450,1,
black-iris-breastplate-1250605,black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,Fervid,450,1,
black-iris-breastplate-1250606,black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,Fervor,450,1,
black-iris-breastplate-1250607,black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,Vitality,450,1,
black-iris-breastplate-1250608,black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,Base roll,425,2,
black-iris-breastplate-1250609,black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,Base roll,425,2,
black-iris-breeches-1450601,black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,Tenacious,450,1,
black-iris-breeches-1450602,black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,Iron Helmet,450,1,
black-iris-breeches-1450603,black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,Stoic,450,1,
black-iris-breeches-1450604,black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,Fervid,450,1,
black-iris-breeches-1450605,black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,Fervor,450,1,
black-iris-breeches-1450606,black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,Elusive,450,1,
black-iris-breeches-1450607,black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,Curse,450,1,
black-iris-breeches-1450608,black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,Base roll,425,2,
black-iris-breeches-1450609,black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,Base roll,425,2,
black-iris-helmet-1150601,black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,Aegis,450,1,
black-iris-helmet-1150602,black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,Iron Helmet,450,1,
black-iris-helmet-1150603,black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,Wrath,450,1,
black-iris-helmet-1150604,black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,Resilience,450,1,
black-iris-helmet-1150605,black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,Smiting,450,1,
black-iris-helmet-1150606,black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,Curse,450,1,
black-iris-helmet-1150607,black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,Wealth,450,1,
black-iris-helmet-1150608,black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,Base roll,425,2,
black-iris-helmet-1150609,black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,Base roll,425,2,
black-iris-sabatons-1550601,black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,Tenacious,450,1,
black-iris-sabatons-1550602,black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,Ethereal,450,1,
black-iris-sabatons-1550603,black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,Stoic,450,1,
black-iris-sabatons-1550604,black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,Wrath,450,1,
black-iris-sabatons-1550605,black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,Burst,450,1,
black-iris-sabatons-1550606,black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,Smiting,450,1,
black-iris-sabatons-1550607,black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,Vitality,450,1,
black-iris-sabatons-1550608,black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,Base roll,425,2,
black-iris-sabatons-1550609,black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,Base roll,425,2,
bloodborn-amulet-1640201,bloodborn-amulet,Bloodborn Amulet,armor,Any,Necklace,Excellent,Base roll,350,2,"agate,peridot"
bloodborn-amulet-1640202,bloodborn-amulet,Bloodborn Amulet,armor,Any,Necklace,Excellent,Base roll,350,2,"amethyst,moonstone"
bloodborn-amulet-1640203,bloodborn-amulet,Bloodborn Amulet,armor,Any,Necklace,Excellent,Base roll,350,2,"universal,amethyst"
bloodwrath-general-armor-1250101,bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,Aegis,450,1,
bloodwrath-general-armor-1250102,bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,Tenacious,450,1,
bloodwrath-general-armor-1250103,bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,Bulwark,450,1,
bloodwrath-general-armor-1250104,bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,Iron Helmet,450,1,
bloodwrath-general-armor-1250105,bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,Blessing,450,1,
bloodwrath-general-armor-1250106,bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,Wrath,450,1,
bloodwrath-general-armor-1250107,bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,Focused,450,1,
bloodwrath-general-armor-1250108,bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,Base roll,425,2,
bloodwrath-general-armor-1250109,bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,Base roll,425,2,
bloodwrath-general-bracers-1350101,bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,Wealth,450,1,
bloodwrath-general-bracers-1350102,bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,Wrath,450,1,
bloodwrath-general-bracers-1350103,bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,Resilience,450,1,
bloodwrath-general-bracers-1350104,bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,Smiting,450,1,
bloodwrath-general-bracers-1350105,bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,Vitality,450,1,
bloodwrath-general-bracers-1350106,bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,Deft,450,1,
bloodwrath-general-bracers-1350107,bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,Focused,450,1,
bloodwrath-general-bracers-1350108,bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,Base roll,425,2,
bloodwrath-general-bracers-1350109,bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,Base roll,425,2,
bloodwrath-general-greaves-1550101,bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,Stoic,450,1,
bloodwrath-general-greaves-1550102,bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,Ethereal,450,1,
bloodwrath-general-greaves-1550103,bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,Wrath,450,1,
bloodwrath-general-greaves-1550104,bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,Unyielding,450,1,
bloodwrath-general-greaves-1550105,bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,Vitality,450,1,
bloodwrath-general-greaves-1550106,bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,Elusive,450,1,
bloodwrath-general-greaves-1550107,bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,Focused,450,1,
bloodwrath-general-greaves-1550108,bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,Base roll,425,2,
bloodwrath-general-greaves-1550109,bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,Base roll,425,2,
bloodwrath-general-helmet-1150101,bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,Aegis,450,1,
bloodwrath-general-helmet-1150102,bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,Tenacious,450,1,
bloodwrath-general-helmet-1150103,bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,Bulwark,450,1,
bloodwrath-general-helmet-1150104,bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,Resilience,450,1,
bloodwrath-general-helmet-1150105,bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,Stoic,450,1,
bloodwrath-general-helmet-1150106,bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,Brotherhood,450,1,
bloodwrath-general-helmet-1150107,bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,Seeker,450,1,
bloodwrath-general-helmet-1150108,bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,Base roll,425,2,
bloodwrath-general-helmet-1150109,bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,Base roll,425,2,
bloodwrath-general-pants-1450101,bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,Aegis,450,1,
bloodwrath-general-pants-1450102,bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,Tenacious,450,1,
bloodwrath-general-pants-1450103,bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,Bulwark,450,1,
bloodwrath-general-pants-1450104,bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,Iron Helmet,450,1,
bloodwrath-general-pants-1450105,bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,Stoic,450,1,
bloodwrath-general-pants-1450106,bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,Distant Ward,450,1,
bloodwrath-general-pants-1450107,bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,Elusive,450,1,
bloodwrath-general-pants-1450108,bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,Base roll,425,2,
bloodwrath-general-pants-1450109,bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,Base roll,425,2,
brass-necklace-1620201,brass-necklace,Brass Necklace,armor,Any,Necklace,Common,Base roll,200,,
carved-amulet-1620101,carved-amulet,Carved Amulet,armor,Any,Necklace,Common,Base roll,200,,
ceremonial-bracers-1330601,ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,Aegis,300,0,
ceremonial-bracers-1330602,ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,Wrath,300,0,
ceremonial-bracers-1330603,ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,Burst,300,0,
ceremonial-bracers-1330604,ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,Fervid,300,0,
ceremonial-bracers-1330605,ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,Elusive,300,0,
ceremonial-bracers-1330606,ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,Deft,300,0,
ceremonial-bracers-1330607,ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,Wealth,300,0,
ceremonial-bracers-1330608,ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,Base roll,275,1,
ceremonial-bracers-1330609,ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,Base roll,275,1,
ceremonial-breastplate-1230601,ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,Aegis,300,0,
ceremonial-breastplate-1230602,ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,Distant Ward,300,0,
ceremonial-breastplate-1230603,ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,Iron Helmet,300,0,
ceremonial-breastplate-1230604,ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,Stoic,300,0,
ceremonial-breastplate-1230605,ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,Fervid,300,0,
ceremonial-breastplate-1230606,ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,Fervor,300,0,
ceremonial-breastplate-1230607,ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,Vitality,300,0,
ceremonial-breastplate-1230608,ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,Base roll,275,1,
ceremonial-breastplate-1230609,ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,Base roll,275,1,
ceremonial-breeches-1430601,ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,Tenacious,300,0,
ceremonial-breeches-1430602,ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,Iron Helmet,300,0,
ceremonial-breeches-1430603,ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,Stoic,300,0,
ceremonial-breeches-1430604,ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,Fervid,300,0,
ceremonial-breeches-1430605,ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,Fervor,300,0,
ceremonial-breeches-1430606,ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,Elusive,300,0,
ceremonial-breeches-1430607,ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,Curse,300,0,
ceremonial-breeches-1430608,ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,Base roll,275,1,
ceremonial-breeches-1430609,ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,Base roll,275,1,
ceremonial-helmet-1130601,ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,Aegis,300,0,
ceremonial-helmet-1130602,ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,Iron Helmet,300,0,
ceremonial-helmet-1130603,ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,Wrath,300,0,
ceremonial-helmet-1130604,ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,Resilience,300,0,
ceremonial-helmet-1130605,ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,Smiting,300,0,
ceremonial-helmet-1130606,ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,Curse,300,0,
ceremonial-helmet-1130607,ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,Wealth,300,0,
ceremonial-helmet-1130608,ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,Base roll,275,1,
ceremonial-helmet-1130609,ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,Base roll,275,1,
ceremonial-sabatons-1530601,ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,Tenacious,300,0,
ceremonial-sabatons-1530602,ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,Ethereal,300,0,
ceremonial-sabatons-1530603,ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,Stoic,300,0,
ceremonial-sabatons-1530604,ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,Wrath,300,0,
ceremonial-sabatons-1530605,ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,Burst,300,0,
ceremonial-sabatons-1530606,ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,Smiting,300,0,
ceremonial-sabatons-1530607,ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,Vitality,300,0,
ceremonial-sabatons-1530608,ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,Base roll,275,1,
ceremonial-sabatons-1530609,ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,Base roll,275,1,
champions-armor-1260101,champions-armor,Champion's Armor,armor,Mercenary,Chest,Legendary,Aegis,525,2,
champions-armor-1260102,champions-armor,Champion's Armor,armor,Mercenary,Chest,Legendary,Tenacious,525,2,
