slug,name,kind,class,slot,rarity,num_variants,socket_count,socket_shapes
dps-12-blue,DPS 12 Blue,armor,Seer,Necklace,Excellent,0,,
dps-12-green-blue,DPS 12 Green-Blue,armor,Seer,Necklace,Rare,0,,
dps-12-green,DPS 12 Green,armor,Seer,Necklace,Rare,0,,
dps-12-orange,DPS 12 Orange,armor,Seer,Necklace,Legendary,0,,
dps-12-purple-orange,DPS 12 Purple-Orange,armor,Seer,Necklace,Epic,0,,
dps-12-purple,DPS 12 Purple,armor,Seer,Necklace,Epic,0,,
dps-12-white-no-accessories,DPS 12 White (No Accessories),armor,Seer,Necklace,Common,0,,
dps-12-white,DPS 12 White,armor,Seer,Necklace,Common,0,,
dragon-slumber-necklace,Dragon Slumber Necklace,armor,Any,Necklace,Epic,3,,
dragonbreath-ring,Dragonbreath Ring,armor,Any,Ring,Epic,3,,
dreamweaver-necklace,Dreamweaver Necklace,armor,Any,Necklace,Excellent,3,,
eagle-god-armor,Eagle God Armor,armor,Blackarrow,Chest,Epic,9,,
eagle-god-bracers,Eagle God Bracers,armor,Blackarrow,Hands,Epic,9,,
eagle-god-leather-boots,Eagle God Leather Boots,armor,Blackarrow,Feet,Epic,9,,
eagle-god-pants,Eagle God Pants,armor,Blackarrow,Legs,Epic,9,,
eagle-god-winged-helm,Eagle God Winged Helm,armor,Blackarrow,Head,Epic,9,,
einherjars-blessing-necklace,Einherjar's Blessing Necklace,armor,Any,Necklace,Legendary,3,,
element-12-blue-purple,Element 12 Blue-Purple,armor,Sorcerer,Necklace,Excellent,0,,
element-12-blue,Element 12 Blue,armor,Sorcerer,Necklace,Excellent,0,,
element-12-gray,Element 12 Gray,armor,Sorcerer,Necklace,Damaged,0,,
element-12-green-blue,Element 12 Green-Blue,armor,Sorcerer,Necklace,Rare,0,,
element-12-green,Element 12 Green,armor,Sorcerer,Necklace,Rare,0,,
element-12-orange,Element 12 Orange,armor,Sorcerer,Necklace,Legendary,0,,
element-12-purple-orange,Element 12 Purple-Orange,armor,Sorcerer,Necklace,Epic,0,,
element-12-purple,Element 12 Purple,armor,Sorcerer,Necklace,Epic,0,,
element-12-white-no-jewelry,Element 12 White (No Jewelry),armor,Sorcerer,Necklace,Common,0,,
element-12-white,Element 12 White,armor,Sorcerer,Necklace,Common,0,,
emissary-gauntlets,Emissary Gauntlets,armor,Shadowstrix,Hands,Excellent,9,,
emissary-leather-armor,Emissary Leather Armor,armor,Shadowstrix,Chest,Excellent,9,,
emissary-long-boots,Emissary Long Boots,armor,Shadowstrix,Feet,Excellent,9,,
emissary-mask,Emissary Mask,armor,Shadowstrix,Head,Excellent,9,,
emissary-tights,Emissary Tights,armor,Shadowstrix,Legs,Excellent,9,,
engraved-ring,Engraved Ring,armor,Any,Ring,Common,1,,
enlightenment-bracers,Enlightenment Bracers,armor,Seer,Hands,Excellent,9,,
enlightenment-crown,Enlightenment Crown,armor,Seer,Head,Excellent,9,,
enlightenment-greaves,Enlightenment Greaves,armor,Seer,Feet,Excellent,9,,
enlightenment-pants,Enlightenment Pants,armor,Seer,Legs,Excellent,9,,
enlightenment-vestment,Enlightenment Vestment,armor,Seer,Chest,Excellent,9,,
eye-of-the-sea-giant,Eye of the Sea Giant,armor,Any,Ring,Legendary,3,,
false-god-boss-spirit-mask,False God BOSS Spirit Mask,armor,Any,Head,Damaged,0,,
fearless-boots,Fearless Boots,armor,Mercenary,Feet,Excellent,9,,
fearless-bracers,Fearless Bracers,armor,Mercenary,Hands,Excellent,9,,
fearless-breastplate,Fearless Breastplate,armor,Mercenary,Chest,Excellent,9,,
fearless-helmet,Fearless Helmet,armor,Mercenary,Head,Excellent,9,,
fearless-pants,Fearless Pants,armor,Mercenary,Legs,Excellent,9,,
flurry-12-blue-purple,Flurry 12 Blue-Purple,armor,Shadowstrix,Necklace,Excellent,0,,
flurry-12-blue,Flurry 12 Blue,armor,Shadowstrix,Necklace,Excellent,0,,
flurry-12-gray,Flurry 12 Gray,armor,Shadowstrix,Necklace,Damaged,0,,
flurry-12-green-blue,Flurry 12 Green-Blue,armor,Shadowstrix,Necklace,Rare,0,,
flurry-12-green,Flurry 12 Green,armor,Shadowstrix,Necklace,Rare,0,,
flurry-12-orange,Flurry 12 Orange,armor,Shadowstrix,Necklace,Legendary,0,,
flurry-12-purple-orange,Flurry 12 Purple-Orange,armor,Shadowstrix,Necklace,Epic,0,,
flurry-12-purple,Flurry 12 Purple,armor,Shadowstrix,Necklace,Epic,0,,
flurry-12-white-no-jewelry,Flurry 12 White No Jewelry,armor,Shadowstrix,Necklace,Common,0,,
flurry-12-white,Flurry 12 White,armor,Shadowstrix,Necklace,Common,0,,
frostspeaker-pendant,Frostspeaker Pendant,armor,Any,Necklace,Legendary,3,,
guard-armor,Guard Armor,armor,"Mercenary, Withered Knight",Chest,Common,1,,
guard-boots,Guard Boots,armor,"Mercenary, Withered Knight",Feet,Common,1,,
guard-bracers,Guard Bracers,armor,"Mercenary, Withered Knight",Hands,Common,1,,
guard-helmet,Guard Helmet,armor,"Mercenary, Withered Knight",Head,Common,1,,
guard-pants,Guard Pants,armor,"Mercenary, Withered Knight",Legs,Common,1,,
haste-12-blue-purple,Haste 12 Blue-Purple,armor,Seer,Necklace,Excellent,0,,
haste-12-blue,Haste 12 Blue,armor,Seer,Necklace,Excellent,0,,
haste-12-gray,Haste 12 Gray,armor,Seer,Necklace,Damaged,0,,
haste-12-green-blue,Haste 12 Green-Blue,armor,Seer,Necklace,Rare,0,,
haste-12-green,Haste 12 Green,armor,Seer,Necklace,Rare,0,,
haste-12-orange,Haste 12 Orange,armor,Seer,Necklace,Legendary,0,,
haste-12-purple-orange,Haste 12 Purple-Orange,armor,Seer,Necklace,Epic,0,,
haste-12-purple,Haste 12 Purple,armor,Seer,Necklace,Epic,0,,
haste-12-white-no-accessories,Haste 12 White (No Accessories),armor,Seer,Necklace,Common,0,,
haste-12-white,Haste 12 White,armor,Seer,Necklace,Common,0,,
holy-saints-bracers,Holy Saint's Bracers,armor,Seer,Hands,Legendary,9,,
holy-saints-greaves,Holy Saint's Greaves,armor,Seer,Feet,Legendary,9,,
holy-saints-miter,Holy Saint's Miter,armor,Seer,Head,Legendary,9,,
holy-saints-pants,Holy Saint's Pants,armor,Seer,Legs,Legendary,9,,
holy-saints-vestment,Holy Saint's Vestment,armor,Seer,Chest,Legendary,9,,
hunter-12-blue-purple,Hunter 12 Blue-Purple,armor,Blackarrow,Necklace,Excellent,0,,
hunter-12-blue,Hunter 12 Blue,armor,Blackarrow,Necklace,Excellent,0,,
hunter-12-gray,Hunter 12 Gray,armor,Blackarrow,Necklace,Damaged,0,,
hunter-12-green-blue,Hunter 12 Green-Blue,armor,Blackarrow,Necklace,Rare,0,,
hunter-12-green,Hunter 12 Green,armor,Blackarrow,Necklace,Rare,0,,
hunter-12-orange,Hunter 12 Orange,armor,Blackarrow,Necklace,Legendary,0,,
hunter-12-purple-orange,Hunter 12 Purple-Orange,armor,Blackarrow,Necklace,Epic,0,,
hunter-12-purple,Hunter 12 Purple,armor,Blackarrow,Necklace,Epic,0,,
hunter-12-white-no-accessories,Hunter 12 White (No Accessories),armor,Blackarrow,Necklace,Common,0,,
hunter-12-white,Hunter 12 White,armor,Blackarrow,Necklace,Common,0,,
hunters-ring,Hunter's Ring,armor,Any,Ring,Rare,3,,
infect-12-blue-purple,Infect 12 Blue-Purple,armor,Withered Knight,Necklace,Excellent,0,,
infect-12-blue,Infect 12 Blue,armor,Withered Knight,Necklace,Excellent,0,,
infect-12-gray,Infect 12 Gray,armor,Withered Knight,Necklace,Damaged,0,,
infect-12-green-blue,Infect 12 Green-Blue,armor,Withered Knight,Necklace,Rare,0,,
infect-12-green,Infect 12 Green,armor,Withered Knight,Necklace,Rare,0,,
infect-12-orange,Infect 12 Orange,armor,Withered Knight,Necklace,Legendary,0,,
infect-12-purple-orange,Infect 12 Purple-Orange,armor,Withered Knight,Necklace,Epic,0,,
infect-12-purple,Infect 12 Purple,armor,Withered Knight,Necklace,Epic,0,,
infect-12-white-no-accessories,Infect 12 White No Accessories,armor,Withered Knight,Necklace,Common,0,,
infect-12-white,Infect 12 White,armor,Withered Knight,Necklace,Common,0,,
jungle-emissary-necklace,Jungle Emissary Necklace,armor,Any,Necklace,Epic,3,,
lovers-ring,Lover's Ring,armor,Any,Ring,Rare,3,,
mandrake-silver-ring,Mandrake Silver Ring,armor,Any,Ring,Excellent,3,,
martyrs-bracers,Martyr's Bracers,armor,Seer,Hands,Rare,9,,
martyrs-greaves,Martyr's Greaves,armor,Seer,Feet,Rare,9,,
martyrs-hood,Martyr's Hood,armor,Seer,Head,Rare,9,,
martyrs-pants,Martyr's Pants,armor,Seer,Legs,Rare,9,,
martyrs-vestment,Martyr's Vestment,armor,Seer,Chest,Rare,9,,
mithril-ring,Mithril Ring,armor,Any,Ring,Rare,3,,
moon-priestess-boots,Moon Priestess Boots,armor,Sorcerer,Feet,Legendary,9,,
moon-priestess-bracers,Moon Priestess Bracers,armor,Sorcerer,Hands,Legendary,9,,
moon-priestess-mask,Moon Priestess Mask,armor,Sorcerer,Head,Legendary,9,,
moon-priestess-pants,Moon Priestess Pants,armor,Sorcerer,Legs,Legendary,9,,
moon-priestess-robe,Moon Priestess Robe,armor,Sorcerer,Chest,Legendary,9,,
mysteria-elder-boots,Mysteria Elder Boots,armor,Sorcerer,Feet,Epic,9,,
mysteria-elder-bracers,Mysteria Elder Bracers,armor,Sorcerer,Hands,Epic,9,,
mysteria-elder-mask,Mysteria Elder Mask,armor,Sorcerer,Head,Epic,9,,
mysteria-elder-pants,Mysteria Elder Pants,armor,Sorcerer,Legs,Epic,9,,
mysteria-elder-robe,Mysteria Elder Robe,armor,Sorcerer,Chest,Epic,9,,
offense-12-gray,Offense 12 Gray,armor,Seer,Necklace,Damaged,0,,
practitioner-bracers,Practitioner Bracers,armor,Sorcerer,Hands,Rare,9,,
practitioner-hood,Practitioner Hood,armor,Sorcerer,Head,Rare,9,,
practitioner-pants,Practitioner Pants,armor,Sorcerer,Legs,Rare,9,,
practitioner-robe,Practitioner Robe,armor,Sorcerer,Chest,Rare,9,,
practitioner-shoes,Practitioner Shoes,armor,Sorcerer,Feet,Rare,9,,
purple-training-bot-life-necklace,Purple Training Bot Life Necklace,armor,Any,Necklace,Epic,0,,
purple-training-bot-warrior-boots,Purple Training Bot Warrior Boots,armor,Mercenary,Feet,Epic,0,,
purple-training-bot-warrior-chestplate,Purple Training Bot Warrior Chestplate,armor,Mercenary,Chest,Epic,0,,
purple-training-bot-warrior-gloves,Purple Training Bot Warrior Gloves,armor,Mercenary,Hands,Epic,0,,
purple-training-bot-warrior-helmet,Purple Training Bot Warrior Helmet,armor,Mercenary,Head,Epic,0,,
purple-training-bot-warrior-pants,Purple Training Bot Warrior Pants,armor,Mercenary,Legs,Epic,0,,
ragons-pendant,Ragon's Pendant,armor,Any,Necklace,Epic,3,,
ragons-ring,Ragon's Ring,armor,Any,Ring,Epic,3,,
raven-priest-bracers,Raven Priest Bracers,armor,Sorcerer,Hands,Excellent,9,,
raven-priest-greaves,Raven Priest Greaves,armor,Sorcerer,Feet,Excellent,9,,
raven-priest-hood,Raven Priest Hood,armor,Sorcerer,Head,Excellent,9,,
raven-priest-pants,Raven Priest Pants,armor,Sorcerer,Legs,Excellent,9,,
raven-priest-robe,Raven Priest Robe,armor,Sorcerer,Chest,Excellent,9,,
raven-war-pendant,Raven War Pendant,armor,Any,Necklace,Legendary,3,,
red-shield-12-blue-purple,Red Shield 12 Blue-Purple,armor,Mercenary,Necklace,Excellent,0,,
red-shield-12-blue,Red Shield 12 Blue,armor,Mercenary,Necklace,Excellent,0,,
red-shield-12-gray,Red Shield 12 Gray,armor,Mercenary,Necklace,Damaged,0,,
red-shield-12-green-blue,Red Shield 12 Green-Blue,armor,Mercenary,Necklace,Rare,0,,
red-shield-12-green,Red Shield 12 Green,armor,Mercenary,Necklace,Rare,0,,
red-shield-12-orange,Red Shield 12 Orange,armor,Mercenary,Necklace,Legendary,0,,
red-shield-12-purple-orange,Red Shield 12 Purple-Orange,armor,Mercenary,Necklace,Epic,0,,
red-shield-12-purple,Red Shield 12 Purple,armor,Mercenary,Necklace,Epic,0,,
red-shield-12-white-no-accessories,"Red Shield 12 White, No Accessories",armor,Mercenary,Necklace,Common,0,,
red-shield-12-white,Red Shield 12 White,armor,Mercenary,Necklace,Common,0,,
red-sword-12-blue-purple,Red Sword 12 Blue-Purple,armor,Mercenary,Necklace,Excellent,0,,
red-sword-12-blue,Red Sword 12 Blue,armor,Mercenary,Necklace,Excellent,0,,
red-sword-12-green-blue,Red Sword 12 Green-Blue,armor,Mercenary,Necklace,Rare,0,,
red-sword-12-green,Red Sword 12 Green,armor,Mercenary,Necklace,Rare,0,,
red-sword-12-grey,Red Sword 12 Grey,armor,Mercenary,Necklace,Damaged,0,,
red-sword-12-orange,Red Sword 12 Orange,armor,Mercenary,Necklace,Legendary,0,,
red-sword-12-purple-orange,Red Sword 12 Purple-Orange,armor,Mercenary,Necklace,Epic,0,,
red-sword-12-purple,Red Sword 12 Purple,armor,Mercenary,Necklace,Epic,0,,
red-sword-12-white-no-jewelry,Red Sword 12 White (No Jewelry),armor,Mercenary,Necklace,Common,0,,
red-sword-12-white,Red Sword 12 White,armor,Mercenary,Necklace,Common,0,,
retribution-ring,Retribution Ring,armor,Any,Ring,Excellent,3,,
rosen-oath-boots,Rosen Oath Boots,armor,Withered Knight,Feet,Legendary,9,,
rosen-oath-bracers,Rosen Oath Bracers,armor,Withered Knight,Hands,Legendary,9,,
rosen-oath-breastplate,Rosen Oath Breastplate,armor,Withered Knight,Chest,Legendary,9,,
rosen-oath-helmet,Rosen Oath Helmet,armor,Withered Knight,Head,Legendary,9,,
rosen-oath-pants,Rosen Oath Pants,armor,Withered Knight,Legs,Legendary,9,,
rover-bracers,Rover Bracers,armor,Blackarrow,Hands,Rare,9,,
rover-hood,Rover Hood,armor,Blackarrow,Head,Rare,9,,
rover-long-boots,Rover Long Boots,armor,Blackarrow,Feet,Rare,9,,
rover-pants,Rover Pants,armor,Blackarrow,Legs,Rare,9,,
rover-top,Rover Top,armor,Blackarrow,Chest,Rare,9,,
scaleclaw-armor,Scaleclaw Armor,armor,Blackarrow,Chest,Legendary,9,,
scaleclaw-bracers,Scaleclaw Bracers,armor,Blackarrow,Hands,Legendary,9,,
scaleclaw-leather-boots,Scaleclaw Leather Boots,armor,Blackarrow,Feet,Legendary,9,,
scaleclaw-pants,Scaleclaw Pants,armor,Blackarrow,Legs,Legendary,9,,
scaleclaw-winged-helm,Scaleclaw Winged Helm,armor,Blackarrow,Head,Legendary,9,,
shadow-amberflux-ring,Shadow Amberflux Ring,armor,Any,Ring,Legendary,3,,
shadow-shroud-12-blue-purple,Shadow Shroud 12 Blue-Purple,armor,Shadowstrix,Necklace,Excellent,0,,
shadow-shroud-12-blue,Shadow Shroud 12 Blue,armor,Shadowstrix,Necklace,Excellent,0,,
shadow-shroud-12-gray,Shadow Shroud 12 Gray,armor,Shadowstrix,Necklace,Damaged,0,,
shadow-shroud-12-green-blue,Shadow Shroud 12 Green-Blue,armor,Shadowstrix,Necklace,Rare,0,,
shadow-shroud-12-green,Shadow Shroud 12 Green,armor,Shadowstrix,Necklace,Rare,0,,
shadow-shroud-12-orange,Shadow Shroud 12 Orange,armor,Shadowstrix,Necklace,Legendary,0,,
shadow-shroud-12-purple-orange,Shadow Shroud 12 Purple-Orange,armor,Shadowstrix,Necklace,Epic,0,,
shadow-shroud-12-purple,Shadow Shroud 12 Purple,armor,Shadowstrix,Necklace,Epic,0,,
shadow-shroud-12-white-no-jewelry,Shadow Shroud 12 White No Jewelry,armor,Shadowstrix,Necklace,Common,0,,
shadow-shroud-12-white,Shadow Shroud 12 White,armor,Shadowstrix,Necklace,Common,0,,
shadow-skull-boots,Shadow Skull Boots,armor,Shadowstrix,Feet,Rare,9,,
shadow-skull-gauntlets,Shadow Skull Gauntlets,armor,Shadowstrix,Hands,Rare,9,,
shadow-skull-mask,Shadow Skull Mask,armor,Shadowstrix,Head,Rare,9,,
shadow-skull-tights,Shadow Skull Tights,armor,Shadowstrix,Legs,Rare,9,,
shadow-skull-top,Shadow Skull Top,armor,Shadowstrix,Chest,Rare,9,,
shadowstrix-bracers,Shadowstrix Bracers,armor,Shadowstrix,Hands,Epic,9,,
shadowstrix-leather-boots,Shadowstrix Leather Boots,armor,Shadowstrix,Feet,Epic,9,,
shadowstrix-mask,Shadowstrix Mask,armor,Shadowstrix,Head,Epic,9,,
shadowstrix-pants,Shadowstrix Pants,armor,Shadowstrix,Legs,Epic,9,,
shadowstrix-vigor,Shadowstrix Vigor,armor,Shadowstrix,Chest,Epic,9,,
simple-leather-boots,Simple Leather Boots,armor,"Blackarrow, Shadowstrix",Feet,Damaged,1,,
simple-leather-bracers,Simple Leather Bracers,armor,"Blackarrow, Shadowstrix",Hands,Damaged,1,,
simple-leather-eyepatch,Simple Leather Eyepatch,armor,"Blackarrow, Shadowstrix",Head,Damaged,1,,
simple-leather-pants,Simple Leather Pants,armor,"Blackarrow, Shadowstrix",Legs,Damaged,1,,
simple-leather-vest,Simple Leather Vest,armor,"Blackarrow, Shadowstrix",Chest,Damaged,1,,
sirius-ring,Sirius Ring,armor,Any,Ring,Legendary,3,,
sorcery-collar,Sorcery Collar,armor,Any,Necklace,Rare,3,,
soulbane-necklace,Soulbane Necklace,armor,Any,Necklace,Epic,3,,
stargazing-ring,Stargazing Ring,armor,Any,Ring,Epic,3,,
stealth-12-blue-purple,Stealth 12 Blue-Purple,armor,Shadowstrix,Necklace,Excellent,0,,
stealth-12-blue,Stealth 12 Blue,armor,Shadowstrix,Necklace,Excellent,0,,
stealth-12-gray,Stealth 12 Gray,armor,Shadowstrix,Necklace,Damaged,0,,
stealth-12-green-blue,Stealth 12 Green-Blue,armor,Shadowstrix,Necklace,Rare,0,,
stealth-12-green,Stealth 12 Green,armor,Shadowstrix,Necklace,Rare,0,,
stealth-12-orange,Stealth 12 Orange,armor,Shadowstrix,Necklace,Legendary,0,,
stealth-12-purple-orange,Stealth 12 Purple-Orange,armor,Shadowstrix,Necklace,Epic,0,,
stealth-12-purple,Stealth 12 Purple,armor,Shadowstrix,Necklace,Epic,0,,
stealth-12-white-no-accessories,Stealth 12 White (No Accessories),armor,Shadowstrix,Necklace,Common,0,,
